,Indicator,Group,State_x,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,State_y,date,cases,state2
3660,Symptoms of Depressive Disorder,By State,Washington,Washington,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,28.7,WA,2021-02-03,316294,Washington
3661,Symptoms of Anxiety Disorder,By State,Washington,Washington,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,36.4,WA,2021-02-03,316294,Washington
3662,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,Washington,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,40.9,WA,2021-02-03,316294,Washington
3663,Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,30.7,WV,2021-02-03,122470,West Virginia
3664,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,37.2,WV,2021-02-03,122470,West Virginia
3665,Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,West Virginia,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,41.8,WV,2021-02-03,122470,West Virginia
3666,Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,25.8,WI,2021-02-03,594924,Wisconsin
3667,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,32.2,WI,2021-02-03,594924,Wisconsin
3668,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,Wisconsin,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,36.7,WI,2021-02-03,594924,Wisconsin
3669,Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,20.0,WY,2021-02-03,52288,Wyoming
3670,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,25.1,WY,2021-02-03,52288,Wyoming
3671,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,Wyoming,3.0,24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,29.2,WY,2021-02-03,52288,Wyoming
3672,Symptoms of Depressive Disorder,By State,Alabama,Alabama,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.6,AL,2021-02-17,483178,Alabama
3673,Symptoms of Anxiety Disorder,By State,Alabama,Alabama,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,30.0,AL,2021-02-17,483178,Alabama
3674,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.5,AL,2021-02-17,483178,Alabama
3675,Symptoms of Depressive Disorder,By State,Alaska,Alaska,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,22.0,AK,2021-02-17,55810,Alaska
3676,Symptoms of Anxiety Disorder,By State,Alaska,Alaska,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.9,AK,2021-02-17,55810,Alaska
3677,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,35.6,AK,2021-02-17,55810,Alaska
3678,Symptoms of Depressive Disorder,By State,Arizona,Arizona,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,28.7,AZ,2021-02-17,801056,Arizona
3679,Symptoms of Anxiety Disorder,By State,Arizona,Arizona,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.6,AZ,2021-02-17,801056,Arizona
3680,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.9,AZ,2021-02-17,801056,Arizona
3681,Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,28.2,AR,2021-02-17,314223,Arkansas
3682,Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.7,AR,2021-02-17,314223,Arkansas
3683,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,39.7,AR,2021-02-17,314223,Arkansas
3684,Symptoms of Depressive Disorder,By State,California,California,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,29.5,CA,2021-02-17,3472964,California
3685,Symptoms of Anxiety Disorder,By State,California,California,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,35.9,CA,2021-02-17,3472964,California
3686,Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,41.5,CA,2021-02-17,3472964,California
3687,Symptoms of Depressive Disorder,By State,Colorado,Colorado,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,28.1,CO,2021-02-17,416184,Colorado
3688,Symptoms of Anxiety Disorder,By State,Colorado,Colorado,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.8,CO,2021-02-17,416184,Colorado
3689,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,37.6,CO,2021-02-17,416184,Colorado
3690,Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,28.1,CT,2021-02-17,271356,Connecticut
3691,Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,35.8,CT,2021-02-17,271356,Connecticut
3692,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,40.6,CT,2021-02-17,271356,Connecticut
3693,Symptoms of Depressive Disorder,By State,Delaware,Delaware,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,21.6,DE,2021-02-17,83581,Delaware
3694,Symptoms of Anxiety Disorder,By State,Delaware,Delaware,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,30.3,DE,2021-02-17,83581,Delaware
3695,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.7,DE,2021-02-17,83581,Delaware
3696,Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,21.3,DC,2021-02-17,39180,District of Columbia
3697,Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.5,DC,2021-02-17,39180,District of Columbia
3698,Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.4,DC,2021-02-17,39180,District of Columbia
3699,Symptoms of Depressive Disorder,By State,Florida,Florida,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.8,FL,2021-02-17,1844640,Florida
3700,Symptoms of Anxiety Disorder,By State,Florida,Florida,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.2,FL,2021-02-17,1844640,Florida
3701,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.5,FL,2021-02-17,1844640,Florida
3702,Symptoms of Depressive Disorder,By State,Georgia,Georgia,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,28.3,GA,2021-02-17,796549,Georgia
3703,Symptoms of Anxiety Disorder,By State,Georgia,Georgia,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.7,GA,2021-02-17,796549,Georgia
3704,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,40.7,GA,2021-02-17,796549,Georgia
3705,Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,22.3,HI,2021-02-17,26935,Hawaii
3706,Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.9,HI,2021-02-17,26935,Hawaii
3707,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.6,HI,2021-02-17,26935,Hawaii
3708,Symptoms of Depressive Disorder,By State,Idaho,Idaho,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,24.1,ID,2021-02-17,168353,Idaho
3709,Symptoms of Anxiety Disorder,By State,Idaho,Idaho,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,30.2,ID,2021-02-17,168353,Idaho
3710,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,35.9,ID,2021-02-17,168353,Idaho
3711,Symptoms of Depressive Disorder,By State,Illinois,Illinois,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.4,IL,2021-02-17,1166717,Illinois
3712,Symptoms of Anxiety Disorder,By State,Illinois,Illinois,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.2,IL,2021-02-17,1166717,Illinois
3713,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.2,IL,2021-02-17,1166717,Illinois
3714,Symptoms of Depressive Disorder,By State,Indiana,Indiana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,26.9,IN,2021-02-17,654921,Indiana
3715,Symptoms of Anxiety Disorder,By State,Indiana,Indiana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.9,IN,2021-02-17,654921,Indiana
3716,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.8,IN,2021-02-17,654921,Indiana
3717,Symptoms of Depressive Disorder,By State,Iowa,Iowa,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,25.3,IA,2021-02-17,330437,Iowa
3718,Symptoms of Anxiety Disorder,By State,Iowa,Iowa,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,29.1,IA,2021-02-17,330437,Iowa
3719,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.3,IA,2021-02-17,330437,Iowa
3720,Symptoms of Depressive Disorder,By State,Kansas,Kansas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,22.9,KS,2021-02-17,291669,Kansas
3721,Symptoms of Anxiety Disorder,By State,Kansas,Kansas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.6,KS,2021-02-17,291669,Kansas
3722,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.5,KS,2021-02-17,291669,Kansas
3723,Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.0,KY,2021-02-17,391779,Kentucky
3724,Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,40.1,KY,2021-02-17,391779,Kentucky
3725,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,45.9,KY,2021-02-17,391779,Kentucky
3726,Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.9,LA,2021-02-17,421096,Louisiana
3727,Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,39.0,LA,2021-02-17,421096,Louisiana
3728,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,42.5,LA,2021-02-17,421096,Louisiana
3729,Symptoms of Depressive Disorder,By State,Maine,Maine,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,25.9,ME,2021-02-17,42877,Maine
3730,Symptoms of Anxiety Disorder,By State,Maine,Maine,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.4,ME,2021-02-17,42877,Maine
3731,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.8,ME,2021-02-17,42877,Maine
3732,Symptoms of Depressive Disorder,By State,Maryland,Maryland,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,25.0,MD,2021-02-17,372980,Maryland
3733,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.3,MD,2021-02-17,372980,Maryland
3734,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,Maryland,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.8,MD,2021-02-17,372980,Maryland
3735,Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,29.3,MA,2021-02-17,533024,Massachusetts
3736,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.4,MA,2021-02-17,533024,Massachusetts
3737,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,Massachusetts,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,39.7,MA,2021-02-17,533024,Massachusetts
3738,Symptoms of Depressive Disorder,By State,Michigan,Michigan,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,26.9,MI,2021-02-17,632784,Michigan
3739,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.7,MI,2021-02-17,632784,Michigan
3740,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,Michigan,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.3,MI,2021-02-17,632784,Michigan
3741,Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,18.3,MN,2021-02-17,475385,Minnesota
3742,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,25.0,MN,2021-02-17,475385,Minnesota
3743,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,Minnesota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.8,MN,2021-02-17,475385,Minnesota
3744,Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.9,MS,2021-02-17,289398,Mississippi
3745,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,40.5,MS,2021-02-17,289398,Mississippi
3746,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,45.8,MS,2021-02-17,289398,Mississippi
3747,Symptoms of Depressive Disorder,By State,Missouri,Missouri,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.2,MO,2021-02-17,549122,Missouri
3748,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.4,MO,2021-02-17,549122,Missouri
3749,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,37.8,MO,2021-02-17,549122,Missouri
3750,Symptoms of Depressive Disorder,By State,Montana,Montana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,23.5,MT,2021-02-17,97903,Montana
3751,Symptoms of Anxiety Disorder,By State,Montana,Montana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,25.2,MT,2021-02-17,97903,Montana
3752,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.1,MT,2021-02-17,97903,Montana
3753,Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,18.8,NE,2021-02-17,196070,Nebraska
3754,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,21.4,NE,2021-02-17,196070,Nebraska
3755,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,Nebraska,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,25.5,NE,2021-02-17,196070,Nebraska
3756,Symptoms of Depressive Disorder,By State,Nevada,Nevada,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.1,NV,2021-02-17,283950,Nevada
3757,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,40.9,NV,2021-02-17,283950,Nevada
3758,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,Nevada,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,46.5,NV,2021-02-17,283950,Nevada
3759,Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,23.5,NH,2021-02-17,71965,New Hampshire
3760,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,26.6,NH,2021-02-17,71965,New Hampshire
3761,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,New Hampshire,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.4,NH,2021-02-17,71965,New Hampshire
3762,Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,26.5,NJ,2021-02-17,755119,New Jersey
3763,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.1,NJ,2021-02-17,755119,New Jersey
3764,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,New Jersey,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.0,NJ,2021-02-17,755119,New Jersey
3765,Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.0,NM,2021-02-17,181332,New Mexico
3766,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.5,NM,2021-02-17,181332,New Mexico
3767,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,New Mexico,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,42.5,NM,2021-02-17,181332,New Mexico
3768,Symptoms of Depressive Disorder,By State,New York,New York,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,28.2,NY,2021-02-17,1548979,New York
3769,Symptoms of Anxiety Disorder,By State,New York,New York,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.7,NY,2021-02-17,1548979,New York
3770,Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,New York,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.7,NY,2021-02-17,1548979,New York
3771,Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,30.3,NC,2021-02-17,829518,North Carolina
3772,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.0,NC,2021-02-17,829518,North Carolina
3773,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,North Carolina,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.8,NC,2021-02-17,829518,North Carolina
3774,Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,20.3,ND,2021-02-17,98912,North Dakota
3775,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,25.3,ND,2021-02-17,98912,North Dakota
3776,Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,North Dakota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,30.1,ND,2021-02-17,98912,North Dakota
3777,Symptoms of Depressive Disorder,By State,Ohio,Ohio,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,29.1,OH,2021-02-17,945111,Ohio
3778,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,33.7,OH,2021-02-17,945111,Ohio
3779,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,Ohio,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.3,OH,2021-02-17,945111,Ohio
3780,Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,29.5,OK,2021-02-17,415859,Oklahoma
3781,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.1,OK,2021-02-17,415859,Oklahoma
3782,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,Oklahoma,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,42.2,OK,2021-02-17,415859,Oklahoma
3783,Symptoms of Depressive Disorder,By State,Oregon,Oregon,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,29.7,OR,2021-02-17,151259,Oregon
3784,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,35.5,OR,2021-02-17,151259,Oregon
3785,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,Oregon,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,41.2,OR,2021-02-17,151259,Oregon
3786,Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.4,PA,2021-02-17,902650,Pennsylvania
3787,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.6,PA,2021-02-17,902650,Pennsylvania
3788,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,Pennsylvania,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.3,PA,2021-02-17,902650,Pennsylvania
3789,Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,26.5,RI,2021-02-17,116351,Rhode Island
3790,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,32.8,RI,2021-02-17,116351,Rhode Island
3791,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,Rhode Island,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,38.5,RI,2021-02-17,116351,Rhode Island
3792,Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,29.6,SC,2021-02-17,492369,South Carolina
3793,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.9,SC,2021-02-17,492369,South Carolina
3794,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,South Carolina,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,36.6,SC,2021-02-17,492369,South Carolina
3795,Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,20.2,SD,2021-02-17,110682,South Dakota
3796,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,26.8,SD,2021-02-17,110682,South Dakota
3797,Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,South Dakota,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.3,SD,2021-02-17,110682,South Dakota
3798,Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.2,TN,2021-02-17,759519,Tennessee
3799,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,37.6,TN,2021-02-17,759519,Tennessee
3800,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,Tennessee,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,43.5,TN,2021-02-17,759519,Tennessee
3801,Symptoms of Depressive Disorder,By State,Texas,Texas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,27.6,TX,2021-02-17,2571063,Texas
3802,Symptoms of Anxiety Disorder,By State,Texas,Texas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.8,TX,2021-02-17,2571063,Texas
3803,Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,Texas,3.0,25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,40.9,TX,2021-02-17,2571063,Texas
